n:154 mse_avg:1.87 mse_y:3.19 mse_u:0.48 mse_v:0.60 psnr_avg:45.42 psnr_y:43.09 psnr_u:51.31 psnr_v:50.32 
n:155 mse_avg:2.73 mse_y:4.72 mse_u:0.65 mse_v:0.82 psnr_avg:43.77 psnr_y:41.39 psnr_u:49.98 psnr_v:49.01 
n:156 mse_avg:2.55 mse_y:4.42 mse_u:0.61 mse_v:0.74 psnr_avg:44.07 psnr_y:41.68 psnr_u:50.30 psnr_v:49.43 
n:157 mse_avg:1.89 mse_y:3.24 mse_u:0.48 mse_v:0.61 psnr_avg:45.36 psnr_y:43.03 psnr_u:51.33 psnr_v:50.25 
n:158 mse_avg:2.54 mse_y:4.39 mse_u:0.61 mse_v:0.76 psnr_avg:44.08 psnr_y:41.71 psnr_u:50.27 psnr_v:49.31 
n:159 mse_avg:2.04 mse_y:3.45 mse_u:0.56 mse_v:0.71 psnr_avg:45.02 psnr_y:42.75 psnr_u:50.64 psnr_v:49.59 
n:160 mse_avg:1.97 mse_y:3.34 mse_u:0.54 mse_v:0.67 psnr_avg:45.18 psnr_y:42.90 psnr_u:50.80 psnr_v:49.86 
n:161 mse_avg:2.06 mse_y:3.49 mse_u:0.56 mse_v:0.68 psnr_avg:45.00 psnr_y:42.70 psnr_u:50.66 psnr_v:49.78 
n:162 mse_avg:2.21 mse_y:3.76 mse_u:0.59 mse_v:0.73 psnr_avg:44.69 psnr_y:42.38 psnr_u:50.40 psnr_v:49.52 
n:163 mse_avg:444.93 mse_y:872.63 mse_u:10.85 mse_v:23.60 psnr_avg:21.65 psnr_y:18.72 psnr_u:37.78 psnr_v:34.40 
n:164 mse_avg:473.44 mse_y:929.40 mse_u:11.04 mse_v:23.95 psnr_avg:21.38 psnr_y:18.45 psnr_u:37.70 psnr_v:34.34 
n:165 mse_avg:3.19 mse_y:5.51 mse_u:0.77 mse_v:0.95 psnr_avg:43.10 psnr_y:40.72 psnr_u:49.26 psnr_v:48.36 
