n:141 mse_avg:3.22 mse_y:5.47 mse_u:0.87 mse_v:1.08 psnr_avg:43.05 psnr_y:40.75 psnr_u:48.75 psnr_v:47.78 
n:142 mse_avg:4.03 mse_y:6.92 mse_u:0.99 mse_v:1.28 psnr_avg:42.08 psnr_y:39.73 psnr_u:48.17 psnr_v:47.07 
n:143 mse_avg:4.40 mse_y:7.62 mse_u:1.03 mse_v:1.33 psnr_avg:41.70 psnr_y:39.31 psnr_u:47.99 psnr_v:46.91 
n:144 mse_avg:4.64 mse_y:8.09 mse_u:1.04 mse_v:1.33 psnr_avg:41.47 psnr_y:39.05 psnr_u:47.94 psnr_v:46.89 
n:145 mse_avg:4.03 mse_y:7.03 mse_u:0.95 mse_v:1.11 psnr_avg:42.08 psnr_y:39.66 psnr_u:48.34 psnr_v:47.68 
n:146 mse_avg:3.61 mse_y:6.29 mse_u:0.86 mse_v:1.01 psnr_avg:42.55 psnr_y:40.14 psnr_u:48.79 psnr_v:48.11 
n:147 mse_avg:3.04 mse_y:5.28 mse_u:0.73 mse_v:0.86 psnr_avg:43.30 psnr_y:40.90 psnr_u:49.47 psnr_v:48.77 
n:148 mse_avg:3.25 mse_y:5.59 mse_u:0.81 mse_v:1.01 psnr_avg:43.02 psnr_y:40.66 psnr_u:49.06 psnr_v:48.09 
n:149 mse_avg:2.99 mse_y:5.11 mse_u:0.79 mse_v:0.97 psnr_avg:43.37 psnr_y:41.05 psnr_u:49.13 psnr_v:48.28 
n:150 mse_avg:3.00 mse_y:5.16 mse_u:0.75 mse_v:0.93 psnr_avg:43.36 psnr_y:41.01 psnr_u:49.37 psnr_v:48.46 
n:151 mse_avg:3.24 mse_y:5.60 mse_u:0.77 mse_v:0.99 psnr_avg:43.03 psnr_y:40.65 psnr_u:49.26 psnr_v:48.18 
n:152 mse_avg:3.32 mse_y:5.74 mse_u:0.80 mse_v:1.02 psnr_avg:42.91 psnr_y:40.54 psnr_u:49.10 psnr_v:48.06 
n:153 mse_avg:2.77 mse_y:4.81 mse_u:0.63 mse_v:0.82 psnr_avg:43.71 psnr_y:41.31 psnr_u:50.14 psnr_v:49.02 
n:154 mse_avg:2.16 mse_y:3.73 mse_u:0.53 mse_v:0.67 psnr_avg:44.78 psnr_y:42.42 psnr_u:50.91 psnr_v:49.88 
n:155 mse_avg:3.73 mse_y:6.52 mse_u:0.83 mse_v:1.05 psnr_avg:42.41 psnr_y:39.99 psnr_u:48.95 psnr_v:47.93 
